How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
500-1000,0.0,1.0,Yes,It's is more acceptable,No,It's is more acceptable,No,No,,Yes,23.0,Male,United States of America,Missouri,United States of America,Kansas
100-500,1.0,1.0,No,Too risky,No,Too risky,"Yes, I observed",No,Yes,Yes,53.0,M,United States of America,Oregon,United States of America,Oregon
100-500,1.0,1.0,Yes,Depends on the issue. If it needs accommodations.,No,Depends on the issue. If it needs accommodations.,"Yes, I experienced",No,Yes,Yes,34.0,Male,United States of America,Illinois,United States of America,Illinois
More than 1000,0.0,1.0,No,It's not their business. ,No,It's not their business. ,"Yes, I observed",Yes,Possibly,Possibly,30.0,Male,United States of America,Illinois,United States of America,Illinois
,,,Maybe,,No,,No,,Yes,Yes,23.0,Male,United States of America,New York,United States of America,New York
100-500,1.0,1.0,Yes,"The physical health issue could affect my ability to perform assigned tasks. I'm aware mental health issues can have the same or greater influence, but I do feel less comfortable discussing that with a potential employer. Primarily because of the existing stigma, but also in part because it's been my experience (so far) that physical limitations/injuries are more recoverable and short-term, where mental health issues are more ""permanent"". ",Maybe,"The physical health issue could affect my ability to perform assigned tasks. I'm aware mental health issues can have the same or greater influence, but I do feel less comfortable discussing that with a potential employer. Primarily because of the existing stigma, but also in part because it's been my experience (so far) that physical limitations/injuries are more recoverable and short-term, where mental health issues are more ""permanent"". ","Yes, I experienced",Maybe,Yes,Yes,30.0,Male,United States of America,Indiana,United States of America,Indiana
25-Jun,1.0,1.0,No,Because I believe a potential employer probably doesn't care about me until I've decided or are working for that employer.,No,Because I believe a potential employer probably doesn't care about me until I've decided or are working for that employer.,"Yes, I experienced",Yes,Yes,Yes,22.0,F,United States of America,California,United States of America,California
26-100,1.0,1.0,Maybe,I suppose it just depends on how personal the health issue feels.,No,I suppose it just depends on how personal the health issue feels.,Maybe/Not sure,No,Yes,Yes,27.0,Female,United States of America,Indiana,United States of America,Indiana
,,,Maybe,,No,,"Yes, I observed",,Possibly,No,47.0,,Latvia,,Latvia,
25-Jun,1.0,1.0,No,I wouldn't want it to potentially hold me back.,No,I wouldn't want it to potentially hold me back.,"Yes, I observed",Yes,Yes,Yes,33.0,female,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,No,Fear of it affecting my possibility to get hired,No,Fear of it affecting my possibility to get hired,No,Maybe,No,No,28.0,male,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,No,None of their business.,No,None of their business.,No,No,Yes,Possibly,36.0,male,United States of America,Nebraska,United States of America,Nebraska
25-Jun,1.0,1.0,Yes,"If it is applicable to the job, then I'd feel the need to bring it up to make sure I was taken care of in the way I'd need to be. For instance if I was allergic to something or epileptic. ",Maybe,"If it is applicable to the job, then I'd feel the need to bring it up to make sure I was taken care of in the way I'd need to be. For instance if I was allergic to something or epileptic. ",No,No,Don't Know,Possibly,25.0,Female,United States of America,Indiana,United States of America,Indiana
More than 1000,0.0,1.0,No,Discrimination,No,Discrimination,Maybe/Not sure,,Don't Know,Don't Know,30.0,Female,United States of America,Indiana,United States of America,Indiana
More than 1000,0.0,1.0,Maybe,"Only if I needed immediate accommodations.  
I feel that bringing up any sort of negative about myself in an interview makes me less attractive to a prospective employer.",No,"Only if I needed immediate accommodations.  
I feel that bringing up any sort of negative about myself in an interview makes me less attractive to a prospective employer.",Maybe/Not sure,,No,No,39.0,Male,United States of America,Idaho,United States of America,Idaho
100-500,1.0,1.0,Yes,Such issues should be accounted for and accommodated when working for a company.,Maybe,Such issues should be accounted for and accommodated when working for a company.,No,No,Don't Know,Possibly,31.0,,United States of America,Missouri,United States of America,Missouri
More than 1000,0.0,1.0,No,Might hurt chances is employment,No,Might hurt chances is employment,No,Yes,No,Don't Know,48.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,Maybe,Depends on the issue and the receptiveness of the employer.,Maybe,Depends on the issue and the receptiveness of the employer.,Maybe/Not sure,No,No,No,43.0,Male,United States of America,Indiana,United States of America,Indiana
More than 1000,1.0,1.0,No,"They can't use it against me legally, so they don't need to know.",No,"They can't use it against me legally, so they don't need to know.",Maybe/Not sure,,Don't Know,Don't Know,35.0,male,United States of America,Iowa,United States of America,Iowa
100-500,0.0,1.0,Yes,I have severe allergies and require weekly treatments that are easiest to get during the work day.,Maybe,I have severe allergies and require weekly treatments that are easiest to get during the work day.,"Yes, I observed",Yes,Yes,Possibly,31.0,female,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,No,I think it may divert the interview,No,I think it may divert the interview,No,No,No,No,28.0,Male,India,,India,
5-Jan,1.0,1.0,Maybe,I would bring it up only if I thought it would have an impact on the job duties I was interviewing for.,No,I would bring it up only if I thought it would have an impact on the job duties I was interviewing for.,No,No,No,No,27.0,male,United States of America,Indiana,United States of America,Indiana
5-Jan,1.0,1.0,Yes,It could potentially change the way I work or what I might need to be successful in my work.,Yes,It could potentially change the way I work or what I might need to be successful in my work.,No,No,Yes,No,28.0,Male,United States of America,Indiana,United States of America,Indiana
500-1000,1.0,1.0,Maybe,It depends if it's relevant to the position,No,It depends if it's relevant to the position,Maybe/Not sure,No,Possibly,Possibly,43.0,Female,United States of America,Indiana,United States of America,Kentucky
More than 1000,1.0,1.0,No,Donât want to be judged by it ,No,Donât want to be judged by it ,No,,Yes,Yes,31.0,F,United States of America,California,United States of America,California
More than 1000,1.0,1.0,No,I don't have any physical health issues that would be relevant to discuss during a job interview,No,I don't have any physical health issues that would be relevant to discuss during a job interview,Maybe/Not sure,No,No,No,37.0,male,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,Maybe,Unconscious bias could affect their decisions about me - I wouldn't bring it up unless it was pertinent to the job or environment.,Yes,Unconscious bias could affect their decisions about me - I wouldn't bring it up unless it was pertinent to the job or environment.,Maybe/Not sure,No,Yes,Yes,36.0,Cis Male,United States of America,Nebraska,United States of America,Nebraska
100-500,1.0,1.0,Maybe,Would bring up things like vision or hearing that would need accomodations to be made,No,Would bring up things like vision or hearing that would need accomodations to be made,No,No,Yes,Yes,42.0,Female,United States of America,Missouri,United States of America,Missouri
100-500,1.0,1.0,No,Never discuss anything medical in interviews,No,Never discuss anything medical in interviews,No,No,Yes,No,29.0,F,United States of America,Missouri,United States of America,Missouri
500-1000,1.0,1.0,No,I don't want to give them reasons not to hire me,No,I don't want to give them reasons not to hire me,"Yes, I observed",Yes,Yes,Yes,41.0,Female,United States of America,Utah,United States of America,Utah
,,,No,If it wouldn't affect my job performance it wouldn't e relevant.,No,If it wouldn't affect my job performance it wouldn't e relevant.,"Yes, I observed",No,Yes,No,37.0,Male,United States of America,Indiana,United States of America,Indiana
26-100,1.0,1.0,No,Its not the main criteria in the hiring process ,No,Its not the main criteria in the hiring process ,Maybe/Not sure,No,No,No,53.0,Male,United States of America,Ohio,United States of America,Ohio
,,,Maybe,I likely wouldn't if it wouldn't unduly affect my performance,No,I likely wouldn't if it wouldn't unduly affect my performance,Maybe/Not sure,,Don't Know,Possibly,43.0,male,United States of America,Missouri,United States of America,Missouri
500-1000,1.0,1.0,Maybe,Depends on the physical issue. If I believed the employer may not hire me because of that issue I would not bring it up.,No,Depends on the physical issue. If I believed the employer may not hire me because of that issue I would not bring it up.,No,Maybe,No,Don't Know,44.0,Male,United States of America,Nebraska,United States of America,Nebraska
100-500,0.0,1.0,No,My physical health issue doesn't impact my work .  And my work doesn't trigger my physical issues.,No,My physical health issue doesn't impact my work .  And my work doesn't trigger my physical issues.,"Yes, I observed",No,No,No,37.0,Female,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,Maybe,I tend to be pretty open.,No,I tend to be pretty open.,No,,Yes,Yes,57.0,F,United States of America,Maryland,United States of America,Virginia
More than 1000,1.0,1.0,No,Concern about being denied the role.,No,Concern about being denied the role.,No,Maybe,No,No,47.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,I am deathly allergic to fried potatoes. If they are doing food over an interview they need to know,No,I am deathly allergic to fried potatoes. If they are doing food over an interview they need to know,"Yes, I observed",No,No,No,34.0,Male,United States of America,Missouri,United States of America,Missouri
26-100,1.0,1.0,Yes,I feel like most tech employers would understand and accommodate that.,No,I feel like most tech employers would understand and accommodate that.,Maybe/Not sure,No,Possibly,Yes,29.0,Male,United States of America,Maryland,United States of America,Maryland
500-1000,0.0,1.0,Yes,,No,,No,Yes,Yes,Possibly,38.0,Male,United States of America,Nebraska,United States of America,Nebraska
26-100,1.0,1.0,Maybe,Depends how relevant it is,Maybe,Depends how relevant it is,Maybe/Not sure,No,Yes,No,41.0,Male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,Yes,"Full disclosure, work accommodations.",Maybe,"Full disclosure, work accommodations.",Maybe/Not sure,No,Yes,Yes,40.0,Male,United States of America,Texas,United States of America,Texas
,,,Maybe,ww,No,ww,,Maybe,Yes,Yes,,,,,,
26-100,1.0,1.0,Maybe,because none of the phyiscal things wrong with me dont affect my work,No,because none of the phyiscal things wrong with me dont affect my work,No,Maybe,Possibly,Possibly,30.0,dude,United States of America,Tennessee,United States of America,Tennessee
,,,No,Lala,No,Lala,,No,Yes,Yes,,,,,,
